Coding Departamento;Código Municipio;Nombre Departamento;Nombre Municipio
Iowa;52031;Iowa;Bellevue
Iowa;50421;Iowa;Belmond
Iowa;52721;Iowa;Bennett
Iowa;50835;Iowa;Benton
Iowa;52032;Iowa;Bernard
Iowa;52722;Iowa;Bettendorf
Iowa;50033;Iowa;Bevington
Iowa;52745;Iowa;Big Rock
Iowa;52535;Iowa;Birmingham
Iowa;50034;Iowa;Blairsburg
Iowa;52209;Iowa;Blairstown
Iowa;52536;Iowa;Blakesburg
Iowa;51630;Iowa;Blanchard
Iowa;51523;Iowa;Blencoe
Iowa;50836;Iowa;Blockton
Iowa;52537;Iowa;Bloomfield
Iowa;52726;Iowa;Blue Grass
Iowa;50519;Iowa;Bode
Iowa;52620;Iowa;Bonaparte
Iowa;50035;Iowa;Bondurant
Iowa;50036;Iowa;Boone
Iowa;50038;Iowa;Booneville
Iowa;50039;Iowa;Bouton
Iowa;50040;Iowa;Boxholm
Iowa;51234;Iowa;Boyden
Iowa;51631;Iowa;Braddyville
Iowa;50041;Iowa;Bradford
Iowa;50520;Iowa;Bradgate
Iowa;52210;Iowa;Brandon
Iowa;50042;Iowa;Brayton
Iowa;51436;Iowa;Breda
Iowa;50677;Iowa;Bremer
Iowa;50837;Iowa;Bridgewater
Iowa;52540;Iowa;Brighton
Iowa;50611;Iowa;Bristow
Iowa;50423;Iowa;Britt
Iowa;51007;Iowa;Bronson
Iowa;52211;Iowa;Brooklyn
Iowa;52727;Iowa;Bryant
Iowa;50612;Iowa;Buckingham
Iowa;50424;Iowa;Buffalo Center
Iowa;52601;Iowa;Burlington
Iowa;50521;Iowa;Burnside
Iowa;52131;Iowa;Burr Oak
Iowa;50522;Iowa;Burt
Iowa;50044;Iowa;Bussey
Iowa;52729;Iowa;Calamus
Iowa;50523;Iowa;Callender
Iowa;52132;Iowa;Calmar
Iowa;51009;Iowa;Calumet
Iowa;52730;Iowa;Camanche
Iowa;50046;Iowa;Cambridge
Iowa;52542;Iowa;Cantril
Iowa;50047;Iowa;Carlisle
Iowa;51401;Iowa;Carroll
Iowa;51525;Iowa;Carson
Iowa;51510;Iowa;Carter Lake
Iowa;52033;Iowa;Cascade
Iowa;50048;Iowa;Casey
Iowa;52133;Iowa;Castalia
Iowa;51010;Iowa;Castana
Iowa;52543;Iowa;Cedar
Iowa;50613;Iowa;Cedar Falls
Iowa;52401;Iowa;Cedar Rapids
Iowa;52212;Iowa;Center Junction
