Coding Departamento;Código Municipio;Nombre Departamento;Nombre Municipio
Iowa;50830;Iowa;Afton
Iowa;52530;Iowa;Agency
Iowa;52201;Iowa;Ainsworth
Iowa;51001;Iowa;Akron
Iowa;50510;Iowa;Albert City
Iowa;52531;Iowa;Albia
Iowa;50005;Iowa;Albion
Iowa;52202;Iowa;Alburnett
Iowa;50006;Iowa;Alden
Iowa;50420;Iowa;Alexander
Iowa;50511;Iowa;Algona
Iowa;50007;Iowa;Alleman
Iowa;50008;Iowa;Allerton
Iowa;50602;Iowa;Allison
Iowa;51002;Iowa;Alta
Iowa;50603;Iowa;Alta Vista
Iowa;51003;Iowa;Alton
Iowa;50009;Iowa;Altoona
Iowa;51230;Iowa;Alvord
Iowa;52203;Iowa;Amana
Iowa;50010;Iowa;Ames
Iowa;52205;Iowa;Anamosa
Iowa;52701;Iowa;Andover
Iowa;52030;Iowa;Andrew
Iowa;50020;Iowa;Anita
Iowa;50021;Iowa;Ankeny
Iowa;51004;Iowa;Anthon
Iowa;50604;Iowa;Aplington
Iowa;51430;Iowa;Arcadia
Iowa;51231;Iowa;Archer
Iowa;50605;Iowa;Aredale
Iowa;52619;Iowa;Argyle
Iowa;51520;Iowa;Arion
Iowa;50606;Iowa;Arlington
Iowa;50514;Iowa;Armstrong
Iowa;51331;Iowa;Arnolds Park
Iowa;51431;Iowa;Arthur
Iowa;51232;Iowa;Ashton
Iowa;51432;Iowa;Aspinwall
Iowa;52720;Iowa;Atalissa
Iowa;52206;Iowa;Atkins
Iowa;50022;Iowa;Atlantic
Iowa;50025;Iowa;Audubon
Iowa;51005;Iowa;Aurelia
Iowa;50607;Iowa;Aurora
Iowa;50608;Iowa;Austinville
Iowa;51521;Iowa;Avoca
Iowa;50515;Iowa;Ayrshire
Iowa;50516;Iowa;Badger
Iowa;50026;Iowa;Bagley
Iowa;52207;Iowa;Baldwin
Iowa;50517;Iowa;Bancroft
Iowa;50027;Iowa;Barnes City
Iowa;50518;Iowa;Barnum
Iowa;52533;Iowa;Batavia
Iowa;51006;Iowa;Battle Creek
Iowa;50028;Iowa;Baxter
Iowa;50029;Iowa;Bayard
Iowa;52534;Iowa;Beacon
Iowa;50030;Iowa;Beaconsfield
Iowa;50609;Iowa;Beaman
Iowa;50031;Iowa;Beaver
Iowa;50833;Iowa;Bedford
Iowa;52208;Iowa;Belle Plaine
